대상,상품
귀농을 희망하는 사람들: 이 대출 상품은 농업창업과 주거 마련을 지원하고 있으므로 귀농을 희망하는 사람들이 해당 상품을 이용할 가능성이 있습니다.,19
" 농업 관련 경험이 있는 사람들: 이 대출 상품은 농업창업을 지원하기 위해 제공되며, 따라서 농업 관련 경험이 있는 사람들이 해당 상품을 이용할 수 있습니다.",19
" 주택 구입을 계획 중인 사람들: 이 대출 상품은 주택 구입 및 신축, 증축 자금을 지원하고 있으므로 주택 구입을 계획 중인 사람들이 해당 상품을 이용할 가능성이 있습니다.",19
" 농촌 지역 활성화에 관심이 있는 사람들: 이 대출 상품은 안정적인 농촌의 정착과 농업 인력구조 개선, 지역 활성화를 위한 농업정책 자금을 제공하고 있으므로 농촌 지역 활성화에 관심이 있는 사람들이 해당 상품을 이용할 가능성이 있습니다.",19
" 신용 평가가 양호한 사람들: 신용 평가에 따라 대출이 제한될 수 있으므로, 신용 평가가 양호한 사람들이 해당 상품을 이용하기에 유리할 수 있습니다.",19
"농업에 흥미를 가지고 있으며, 농업 경영에 대한 경험이 있는 사람",20
" 농업 창업에 관심이 있고, 농업 분야에 대한 전문적인 지식을 가진 사람",20
 미래에 농업을 통해 수익을 창출하고 싶어하는 사람,20
 농업 분야의 발전을 위해 적극적으로 동참하고자 하는 사회적 책임감을 가진 사람,20
 농업 분야에서의 창업 및 경영에 자금이 필요한 사람,20
농업을 직업으로 선택한 사람들,21
 중고농기계를 구입하고 싶은 농업인 또는 농업법인,21
 낮은 금리로 대출을 받아 중고농기계를 구입하고 싶은 사람들,21
 정부의 농업정책 자금을 활용하고자 하는 사람들,21
 중고농기계 구입을 위해 자금이 필요한 농업인 또는 농업법인.,21
농가 경영에 안정을 추구하는 경영주인 농업인,22
 농업 경영비 부족으로 어려움을 겪는 영농기 농업인,22
 재해 대책 경영자금을 필요로 하는 농가,22
 대출금을 일시상환할 수 있는 능력을 가진 농업인,22
 농업 정책 자금을 활용하여 경영 안정화를 추구하는 농가,22
귀농을 계획하고 있는 사람들 중에서 농장 운영을 위해 운전자금을 필요로 하는 사람들,23
 조합원으로 등록되어 있는 농업인들 중에서 높은 금리로 대출을 받고 있는 사람들,23
 농촌지역에서 청년창업농을 하기 위해 자금이 필요한 사람들,23
 농업인으로서의 경험은 있지만 더 많은 자금이 필요한 법인 제외된 농업인들,23
" 농업 경영에 필요한 운전자금이 부족한 사람들, 예를 들어 비료나 작업용 기계를 구입하기 위한 자금이 필요한 사람들.",23
창업에 도전하는 열정을 가진 사람들,24
 사회적인 영향을 주는 사업을 추구하는 사람들,24
 창의적이고 혁신적인 아이디어를 갖고 있는 사람들,24
 새로운 시장이나 산업을 개척하려는 사업가들,24
 금융 지식과 경력이 부족하지만 자금 지원이 필요한 사람들,24
비영리 단체나 사회적 기업을 운영하고 있는 사람들,25
 사회적 취약계층에게 도움을 주기 위해 사회적 기업을 설립하고자 하는 사람들,25
 지역 경제를 활성화하고 사회적 가치를 창출하기 위해 사회적 기업을 창업하려는 사람들,25
 기존 상업적인 목적이 아닌 사회문제 해결과 사회적 가치 창출을 위해 사업을 시작하고자 하는 사람들,25
 지역사회 변화와 공공의 목적을 위해 사회적 기업을 발전시키기를 원하는 사람들,25
어린 나이층: 20대 청년들이 사회적 경제적으로 더 나은 삶을 꿈꾸는 경우.,26
 저소득층: 경제적으로 어려운 가정에서 탈출하고자 하는 사람들.,26
 사회적 약자: 노동시장에서 어려움을 겪는 소수 집단이나 소외된 청년들.,26
 창업가들: 사업을 시작하고자 하며 자금 지원이 필요한 사람들.,26
 사회적 책임감 있는 개인: 사회적인 가치를 실현하려는 사람들.,26
지역사회에 대한 책임감이 강한 법인 및 단체,27
 사회적 가치 실현을 위해 지속적인 노력을 하는 법인 및 단체,27
 경영적으로 안정성을 갖추고 있는 법인 및 단체,27
 울산시에 근거지를 가지고 있는 법인 및 단체,27
 예비사회적기업 지정에 대한 이해와 관심을 가지고 있는 법인 및 단체,27
마을경제에 관심이 있는 사람들,28
 창업이나 사회적 기업 활동에 관심이 있는 사람들,28
 경제적으로 독립적인 사업을 하고 싶어하는 사람들,28
 서울시 내 마을기업과 관련된 일에 직/간접적으로 관여하고 싶은 사람들,28
마을기업 운영에 관심이 있는 사람,29
 마을기업과 관련된 업무나 프로젝트를 수행하고 있는 사람,29
 마을기업의 경영 및 운영 역량을 개선하고자 하는 사람,29
 마을기업의 사회적 가치를 실현하기 위해 노력하고자 하는 사람,29
 공익적인 목적을 가진 사업에 참여하고자 하는 사람,29
사업을 운영하는 중소기업주,30
 작은 규모의 상점을 운영하는 소상공인,30
 세금을 원활하게 납부하는 모범적인 납세자,30
 기존 대출 상환에 어려움이 없는 신용력 있는 개인 또는 기업,30
 대출 보증 요건을 충족하는 사업자 또는 소상공인,30
"정규직 교직원 중 초, 중, 고 교직원",31
 정규직 교직원 중 국공립 유치원 교사,31
 정규직 교직원 중 교육부 또는 교육(지원)청 소속 공무원,31
 최대 2억원 이내의 대출을 원하는 사람,31
" 대출 기간이 1년에서 최장 10년까지 가능하고, 대출 기간에 따라 최장 12개월까지 거치기간이 가능한 사람",31
교육계에서 일하고 있는 교사,32
 국공립 학교나 교육부 소속의 공무원,32
 사립 학교의 교직원으로 근무하는 사람,32
 교육연금을 받는 사람,32
 사학연금 수급자,32
연체 중인 고금리대출을 가지고 있는 사람,33
" 국민행복기금의 신용보증서 발급이 가능하고, 현재 고금리대출의 만기일이 3개월 이내인 사람",33
 연체 중이지 않아 성실하게 상환하는 사람,33
" 신용평가시스템(CSS) 등급이 좋고, 소득증빙도 가능한 사람",33
 최대 2천만원 혹은 최대 3천만원까지 대출을 받을 수 있는 사람,33
KB스타클럽 골드스타 등급의 고객들은 서류제출 없이 최대 5천만원까지 대출을 받을 수 있습니다.,34
" 대출을 상환하는 방법은 일시상환 또는 원(리)금균등 분할상환을 선택할 수 있으며, 대출기간은 1년부터 최장 10년까지 가능합니다.",34
 KB 주거래고객 우대대출은 KB국민은행 거래실적에 따라 대출한도를 산정하여 고객에게 제공됩니다.,34
 대출한도는 개인신용평가(CSS)결과 및 스타클럽 고객등급에 따라 차등적으로 적용됩니다.,34
" 이 대출상품은 KB스타클럽 MVP스타, 로얄스타, 골드스타 등급의 고객을 대상으로 합니다.",34
KB Star Club 프리미엄스타 이상 고객,35
 무서류무방문 대출에 관심이 있는 고객,35
 중도상환 수수료 부담 없이 상환을 편리하게 하고 싶은 고객,35
 상환 계좌 노출을 최소화하고 싶은 고객,35
 개인신용평가시스템에 의해 대출한도가 산정되는 고객,35
개인이 소유한 빌라를 담보로 대출하고자 하는 사람들,36
 소득증빙이 가능하며 개인적인 자금이 필요한 사람들,36
 부동산 시장에서 빌라를 소유하고 있는 사람들,36
 현재 거주지로서 빌라를 소유하고 있는 사람들,36
 대출 상품의 금리와 상환 조건을 이용해 양심적인 대출 관리가 가능한 사람들,36
서울에 거주하고 있는 개인 택시 기사,37
 개인 택시를 운영하면서 자동차를 소유한 사람,37
 택시 운영과 관련하여 금융기관에서 근저당 설정을 받지 않은 사람 (차량을 담보로 대출 받지 않은 사람),37
 휴폐업이 아닌 개인 택시 사업자,37
 LPG 충전소와 관련하여 근저당 설정을 받지 않은 사람 (충전소와 일치하는 근저당권자인 경우),37
서민 연소득이 1천2백만원 이상인 사업자 중금리대출을 이용할 것 같은 사람,38
 급여소득이 2천만원 이상이며 현직장 재직기간이 6개월 이상인 사람,38
 공적연금을 수령하는 사람으로서 공적연금 수령 1회 이상한 사람,38
 KB 새희망홀씨 II주 대출을 최근 1년 이상 납입지연 없이 성실히 상환 중인 사람,38
 최대 2천만원 이내의 대출을 받고 싶은 사람,38
중소법인기업에 3년 이상 재직하고 국민건강보험료를 최근 1년 동안 정상적으로 납부한 사람들,39
 연간 소득이 25백만원 이상인 사람들,39
 제2금융권에서 대출을 보유하지 않은 사람들,39
" 공무원, 군인, 선생님, 금융기관, 공공기관, 언론기관, 대기업, 상장기업, 의료기관 중 병원급 이상의 재직자가 아닌 사람들",39
 개인신용평가 결과에 따라 차등적으로 적용되는 무보증 최고 3천만원 이하 대출한도를 받아 원금균등원리금균등분할상환 방식으로 최소 1년부터 최대 5년까지 상환할 수 있는 사람들,39
3년 이상 복무한 중사 이상의 현역군인으로 국군재정관리단장 발급「군인생활안정자금 대출추천서」를 가지고 있는 사람들,40
 현재 당행 급여이체 1개월(1회)미만이거나 90일 이내 전역예정인 고객은 제외 되는 사람들,40
 퇴직급여 예상액 12범위 내에서 최고 5천만원 이내의 대출한도를 원하는 3년 이상 복무한 중사 이상의 현역군인,40
 퇴직수당 예상액 범위 내에서 최고 8천만원 이내의 대출한도를 원하는 25년 이상 복무한 원사준위중령 이상의 현역군인,40
 원금균등원리금균등분할상환 방식으로 일시상환 최저 1년~최장 10년이내로 대출을 상환하고 싶은 사람들,40
보험에 대한 이해도가 높은 사람들,41
 금리가 비교적 낮은 대출을 찾는 사람들,41
 대출한도가 다양한 금액을 원하는 사람들,41
 상환 기간이 유연한 대출 상품을 찾는 사람들,41
 원리금 또는 원금을 균등분할하여 상환하는 방법에 관심이 있는 사람들,41
4대 서민금융상품 중 하나를 완제 또는 성실히 상환한 고객,42
 나이스평가정보(NICE) 코리아크레딧뷰(KCB)등급 모두 1-5등급인 고객,42
 증빙소득서류 제출이 가능한 고객,42
 생활안정자금을 필요로 하는 고객,42
 KB 징검다리론 대출 상품을 이용하고자 하는 고객,42
최근년도 국세청 홈택스 연 소득금액이 2백만원 이상 2천5백만원 이하인 개인신용평가시스템(CSS)에 의해 대출적격자로 판정된 자영업자,43
 동일 사업체를 12개월 이상 운영하고 있는 자영업자,43
 사업 안정을 위해 소액 생활안정자금 신용대출이 필요한 자영업자,43
 원금균등 또는 원리금균등 분할상환 방식으로 대출을 상환할 수 있는 자영업자,43
 최대 5백만원 이내의 대출한도를 필요로하는 자영업자,43
기존에 KB새희망홀씨Ⅱ 대출을 상환 중이며 최근 1년간 누적 연체일수가 10일 이하인 사람,44
 외부신용등급이 6~10등급이고 연간 소득이 4천5백만원 이하인 사람,44
 기존에 KB새희망홀씨 긴급생계자금을 보유하지 않은 사람,44
 재직 및 소득 확인서류 제출을 생략할 수 있는 사람,44
 어려운 생활 상황에 처한 서민으로서 긴급생계자금 지원이 필요한 사람,44
현재 재직중인 우량업체에 속한 임직원,45
 신용 평가결과가 양호한 사람,45
 대출을 통해 소비나 투자 등 자금이 필요한 사람,45
 대출금을 일시상환하는 것을 원하는 사람,45
 대출한도가 결정되는데 있어서 개인 신용평가에 영향을 받지 않는 사람,45
개인사업자나 법인사업자로서 사업을 등록하고 영업 중인 사람들,46
 부동산에 투자하려는 사람들 중에서 아파트를 보유하고 있는 사람들,46
 사업자로서 매월 일정 금액을 지출하고 이를 대출을 통해 상환하려는 사람들,46
 신용도나 거래 이력에 따라 대출 한도가 가중 부여되는 사람들,46
 상환 기간이 1년이지만 이자는 매월 결산일에 부과되는 것을 원하는 사람들,46
금융기관에 재직 중인 증권회사 직원은 KB 스마트 직장인 대출을 이용할 수 있습니다.,47
 병원에서 근무 중인 의료진은 KB 스마트 직장인 대출을 신청할 수 있습니다.,47
 일반 상장기업 중에서 코스닥 업체에 재직 중인 임직원은 KB 스마트 직장인 대출을 이용할 수 있습니다.,47
 상호저축은행에서 근무 중인 직원도 KB 스마트 직장인 대출을 신청할 수 있습니다.,47
 언론기관 내에서 일간지 및 방송 3사에 속하지 않는 임직원도 KB 스마트 직장인 대출을 이용할 수 있습니다.,47
공무원으로 재직 중인 사람,48
 군인으로 중사 이상인 사람,48
" 초, 중, 고등학교 및 대학에 재직 중인 교직원",48
 국공립 초등학교 병설유치원에 재직 중인 교사,48
 정부나 지방자치단체에 1년 이상 재직 중인 사람,48
제1금융권 은행에서 재직 중인 직원이 대출 상품을 이용할 것 같다.,49
" 금융관련기관인 금융감독원, 금융결제원, 금융연수원 등에서 재직 중인 사람들이 대출 상품을 이용할 것 같다.",49
 외국계은행에 재직 중인 사람들이 대출 상품을 이용할 것 같다.,49
 신용보증기금이나 지역보증재단과 관련된 기관에서 재직 중인 사람들이 대출 상품을 이용할 것 같다.,49
 종합통장자동대출을 이용하고자 하는 사람들이 대출 상품을 이용할 것 같다.,49
대기업에 재직하고 있는 사람들,50
 공공기관에서 근무하는 사람들,50
 상장회사나 언론기관에 소속된 임직원들,50
 KB금융지주계열사에서 일하는 사람들,50
 좋은 신용평가 결과를 가진 사람들,50
자영업을 하고 있는 사업자로서 가계 생활안정자금이 필요한 사람,51
 최고 1억원까지 대출 가능한 자금 필요한 사람,51
 신용평가 결과에 따라 대출한도가 차등 적용되는 사람,51
 일시상환 또는 분할상환으로 대출을 갚을 수 있는 사람,51
 최소 1년부터 최장 5년까지 대출을 상환할 수 있는 사람,51
최근 3개월 이상 계속하여 KB국민카드 매출실적이 발생한 가맹점 대표,52
" 유흥, 숙박 등 일부 가맹점 업종을 제외한 가맹점 대표",52
 증빙소득 외에도 KB국민카드 매출액을 추정소득으로 인정받을 수 있는 가맹점 대표,52
 최대 1억5천만원의 무보증 대출한도를 받을 수 있는 가맹점 대표,52
 일시상환 또는 분할상환으로 1년부터 최장 5년까지 상환 가능한 가맹점 대표,52
KB국민은행 우량 신용고객으로 사전에 우편 또는 은행 창구를 통해 대출 안내를 받은 고객이 대출 신청할 때,53
 신용평가에 필요한 서류 제출이 번거로울 때,53
 대출한도가 고객별로 사전에 정해져 있는 범위 이내에서 대출을 원할 때,53
" 일시상환, 원금균등원리금균등, 분할상환, 혼합상환 중 상환 방식을 선택할 수 있는 고객",53
 최대 대출한도가 1억5천만원(담보대출 포함시 3억원) 이내인 고객,53
현직 공무원으로 근무하고 있는 사람들,54
 공무원 연금법에 따라 퇴직금을 받을 예정인 사람들,54
 개인신용 평가 시스템에 의해 대출 적격자로 평가되는 사람들,54
 이미 취급한 KB 공무원우대대출이 있는 사람들,54
" 일시상환, 원금균등원리금균등분할상환, 혼합상환을 통한 대출 상환 방법에 관심이 있는 사람들",54
급여소득 및 연금소득 등 기타소득이 있는 고객,55
 소득 미입증 고객 중 당행 거래 실적 등에 따라 대출한도가 산정되는 고객,55
 자영업 고객이 아닌 고객,55
 대출한도 무보증 최고 1억원 이내를 원하는 고객,55
 일시상환 또는 원리금균등 분할상환으로 상환 방식이 가능한 고객,55
자영업자로서 아파트를 소유하고 있는 사람들,56
 사업을 위해 자금을 필요로 하는 법인사업자들,56
 KB부동산 시세에 따라 아파트 가치가 높은 고소득자들,56
 신용등급이 하락하여 다른 금융거래에 제약이 있는 사람들,56
 대출을 받아서 5년 동안 규칙적인 상환을 원하는 사람들,56
신용등급이 높은 사람들,57
 종합통장을 보유하고 있는 사람들,57
 대출한도가 2억원 이내인 사람들,57
 일시상환 또는 분할상환 방식으로 상환할 수 있는 사람들,57
 최소 1년부터 최장 5년까지 대출 기간을 원하는 사람들,57
국세청 신고 연소득이 2백만원 이상 2천5백만원 이하인 자유직업 소득자(프리랜서)인 사람,58
 자영업자로서 KB 국민카드 가맹점을 운영하는 사람,58
" 학원강사, 직업운동가, 간병인, 대리운전, 목욕관리사 등 사업소득이 있는 자유직업 소득자인 사람",58
 개인신용평가시스템(CSS)에 의해 대출적격자로 판정된 사람,58
 자영업을 하는 프리랜서로서 생활안정자금이 필요한 사람,58
고금리 대출을 이용하고 있는 청년대학생,59
 생활자금이 필요한 청년대학생,59
 신용회복위원회에서 신용보증서를 발급받은 고객,59
" 연 15% 이상의 고금리 채무를 당행의 ""KB 대학생청년 햇살론""으로 전환하고자 하는 고객",59
" 생활안정 자금이 필요한 고객(예: 생활비, 주거비, 의료비, 학원비, 교재비 등)",59
연간 소득이 3천5백만원 이하인 국내 거주 국민이면서 외부 신용 등급이 6~10등급인 사람,60
 직업 및 소득 확인서류 등으로 소득을 증빙할 수 있는 사람,60
 국민연금 보험료 또는 지역 건강보험료를 3개월 이상 정상 납부한 사람으로 소득이 산출되는 사람,60
" 기초 생활수급권자, 한부모 가정, 다문화 가정, 20세 미만 자녀를 3명 이상 부양하는 고객, 60세 이상인 부모를 부양하는 고객, ""맞춤형 서민금융상담"" 참여 고객, 등록 장애인 중 하나 이상 해당되는 사람",60
 성실 상환 고객으로 12개월 동안 납입 지연일수가 없는 사람,60
보험에 관심이 많은 사람들,61
 상환 방법이 유연한 대출을 원하는 사람들,61
 비교적 낮은 대출한도를 필요로 하는 사람들,61
 전화로 신청 및 상담이 편리한 사람들,61
국내거주 고객 중 대출금리를 낮춰야하는 사람들,62
 국민행복기금에서 신용보증서 발급 대상자인 사람들,62
 신용보증서상의 대출예정금액이나 고금리 채무잔액이 큰 사람들,62
 1년에서 5년까지의 긴 대출기간을 원하는 사람들,62
 원리금균등분할상환 방법의 대출 상환 방식을 선호하는 사람들,62
"근로소득이 있는 현직 의사, 한의사, 치과의사, 개업 예정 의사 등 의료직 종사자들",63
" 의대 본과 4학년 및 의사면허 합격자, 치의대한의대 포함",63
" 근로소득이 있는 현직 변호사, 판사, 검사, 군법무관, 사법연수원생 등 법조인들",63
 개인신용평가시스템(CSS)에 의해 대출 적격자로 판정된 고객,63
" 대출 한도는 현직 종사유형, 연소득, 신용등급에 따른 산정 비율을 적용하여 결정되며, 기취급 타행의 신용대출금액이 차감된다. 상환방법은 일시상환, 원금균등, 원리금균등, 분할상환 등이 가능하다. 최소 1년 이상 최대 5년 이내의 기간으로 선택할 수 있다.",63
"일정한 국내자격증을 소지한 현직종사자로서 수의사, 약사, 공인회계사 등 전문직에 종사하는 사람들",64
 기사 및 기능사자격증 소지자를 제외한 사람들,64
 다른 은행이나 금융기관에서 이미 대출을 받은 금액을 차감한 금액으로 운용하려는 사람들,64
 원금을 1년에 일시상환하거나 최소 1년 이상 최대 5년 이내에 원금균등이나 원리금균등분할상환 방식으로 상환하고자 하는 사람들,64
" 대출한도는 자격증 종류, 연소득, 신용등급에 따라 차등 적용될 것으로 예상되는 사람들",64
KT 케이티데이타시스템 임직원으로 근무년수가 15년 이상인 고객,65
 KT 관련 회사 임직원으로 개인신용평가시스템에 의해 대출적격자로 판정된 고객,65
 연소득의 130% 이내의 대출한도를 원하는 고객,65
 다른 금융기관이나 KB국민은행에서 이미 신용대출을 받은 고객,65
 1년 이내에 대출금을 일시 상환할 수 있는 고객,65
1년 이상 보험 유지한 경험이 있는 사람,66
 대출 상환 기간을 1년에서 5년 사이로 선택할 것 같은 사람,66
 매월 일정한 금액을 상환하는 방법을 선호하는 사람,66
 금리가 상대적으로 낮은 대출 상품을 찾는 사람,66
 대출한도가 100만원에서 3000만원 사이인 상품을 찾는 사람,66
"제2금융권 대출을 이미 보유하고 있는 사람이고, 우량한 신용을 가진 사람.",67
 개인신용평가(CSS)에 의해 대출적격으로 판정되어 있는 사람.,67
 재직기간이 3년 이상이며 입증된 소득이 25백만원 이상인 사람.,67
 최대 5천만원까지 가능한 무보증 대출을 희망하는 사람.,67
 일시상환 또는 종합통장자동대출 방식을 선호하는 사람.,67
매달 군인연금을 국민은행 계좌로 받는 군인,68
 개인신용평가시스템에 의해 대출적격자로 판정된 고객,68
 이미 취급된 무보증 신용대출이 있는 경우,68
 3천만원 이내의 대출이 필요한 고객,68
 원리금균등 분할상환 또는 종합통장자동대출을 원하는 고객,68
공무원으로 근무하고 있는 사람들,69
 매월 공무원 연금을 국민은행 계좌로 수령하고 있는 사람들,69
 개인신용평가시스템(CSS)에 의해 대출적격자로 판정된 사람들,69
 최대 3천만원 이내의 금액을 대출하고자 하는 사람들,69
 원리금균등 분할상환 방식으로 대출금을 상환하고자 하는 사람들,69
현재 동일 직장에서 1년 이상 재직 중이며 급여이체 등록이 된 고객,70
 개인신용평가(CSS)에 의해 대출 적격자로 판정된 고객,70
 무보증 최고 1억 5천만원 이내 대출 한도를 필요로 하는 고객,70
 일시 상환 또는 원금 균등 원리금 균등분할 상환 방식으로 상환 가능한 고객,70
 대출 기간은 최소 1년부터 최대 10년까지 연장 가능한 고객,70
사업자로 등록된 개인 또는 법인 사업체를 운영하고 있는 사람들,71
 거래 이력과 신용도가 좋은 사람들,71
 주택을 담보로 대출을 받아야 하는 사람들,71
 주택의 시세에 대출한도가 영향을 받는 사람들,71
 3년 내에 대출금을 일시상환할 수 있는 사람들,71
재직기간이 2년 미만인 신입사원,72
 재직기간이 3개월 이상~2년 미만이고 연 환산소득이 2천만원 이상인 고객,72
 우량 업체에 재직중인 만 35세 미만의 고객,72
" 공무원, 군인, 교직원 중 재직기간이 2년 미만인 만 35세 미만의 고객",72
